title,id,review_text,recommendation,posted_date,playtime
Warframe,MattBatt,"Seeing as Tennocon just happened a few days ago, and has been gathering a lot interests since then, i think it would be a good idea to finally make a review on this thing. I mean i have like, what, 1500 hours on this game, so i think i qualified to talk about this game.  What is this game even Warframe is a third person PvE loot shooter, where its about collecting resources and items to craft new guns and armor so you can kill things in more ways. You play as a ""Warframe"", which are basically space ninjas. Each Warframe comes with a set of abilities to make them all special, and their mobility allows them to get across the stages with ease, and will become second nature before you know it.  Unlike most games, Warframe doesn't have a traditional progression system. All weapons and Warframes can only reach level 30, which you can easily get in a hour or two. However, your total rank (known as mastery rank) only ranks up when you level up new gear, and some items are locked behind a mastery rank. This means that it doesn't take long for new players to reach the highest level with their gear, with encouraging them to try new things as they play the game.  This is one of warframes strongest points. Pretty much all weapons and Warframe can be modded in any way you like. Wanna make your Warframe super tanky? Or maybe give his abilities alot of power for better damage? Thats all up to you. This makes the game extremely replayable, as you can experiment with different builds for your gear. You can also change the look of your items for even as a new people.  Lucky, warframe is one of the very best when it comes to this, Almost all items can be bought from the games shop, but they cost alot compared to how easy some of them are. Its as if the game says: ""Look, i get it, you dont wanna work to get that shotgun, but its gonna cost you quite a bit to buy it.."" The main you will be buying is instead things like weapon slots, warframe slots, boosters, accessories and so on. Theres also a trading system in the game, and it allows you to trade using the game's premium currency, giving the game its own economy.   Even tho i just said the game is ""extremely replayable"", this is still a loot shooter, meaning there will be grinding at times. Sometimes its not so bad, other times it goes a beyone extreme. If games with grinding doesn't suit you at all, maybe you wanna skip this one. But hey, i've over 1000 hours on the game, and im still able to enjoy the game most of the time.  So thats my short review of the game. I dont wanna go much more into details since i feel like new players should see it for themself, but this is a basic overview of what kind of game it is, and what you can expect from it. If you like what you hear, then give it a try, its free after all. Now if you will excuse me, i have some i need to get.",Recommended,2018.07.21,3.0
Warframe,Caesar,Relationships are temporary. The Void's embrace is forever.,Recommended,2018.10.30,7.0
Warframe,drfuzzy,i'm currently perma banned and i still recommend this game,Recommended,2024.02.17,4.0
Warframe,Vidokas,Free to play done right,Recommended,2017.11.10,430.7
Warframe,MarkOnWinBows,"control space, control space, control space, control space, control space, control space, control space, control space, control space, control space.",Recommended,2021.04.21,2.0
Warframe,suns,Why all the frames got so much ass,Recommended,2024.01.04,2.0
Warframe,Alpha,"If you don't have a job and no money, then this game is for you.",Recommended,2024.04.22,9.2
Warframe,Throckmorton,I've played for 220 hours and understand nothing.,Recommended,2022.08.17,279.9
Warframe,Kou_Zidan,Free to play done correctly.,Recommended,2019.06.04,1.0
Warframe,ProfileName,You need to be on crack to understand the gameplay and marijuana to understand the story.,Recommended,2023.04.27,748.6
Warframe,Mat,"Whenever i boot this mf up my real life comes to a halt for several weeks until I burn out, only to start the cycle again. I've hidden it in my library to prevent myself from going in again. Please dont rate this review so i can forget about it peacefully.",Recommended,2024.01.30,968.3
Warframe,Anarchist Panda,"Not pay to win Before I start my review, I want to dispell this notion. Anyone who tells you this game is pay to win is wrong, or lying to you. Most of the good weapons are mastery rank locked and even if you buy things to bypass the grind, you still have to level those Warframes and weapons, you still have to play the game to grind and get mods for your weapons and Warframes to make them actually perform well in end-game content. You're blindsiding yourself if you're going to make the argument that this game is pay to win. Now that I've gotten that out of the way, let's get to the actual review.  Graphics I had to start off by reviewing the graphical quality of this game, because it's so beautiful. Everything is well polished and good-looking, the appearance of Warframe will not hesitate to immerse you into the environment. On top of that, graphically the game is extremely well optimized compared to other games, and can run on many older computers without an issue. There is no section of the game that is forgotten about in regards to visuals. Clearly, a lot of love has been put into this game and you can tell that immediately just by looking at how beautiful and immersive the game is.  Warframe's content and gameplay are some of the best for any free-to-play game out there. Everything in Warframe is available without paying if you are willing to grind for it. One of the best freemium models out there, seriously. You can earn Platinum, the premium currency, in-game without ever spending a cent on it. As for the Warframes themselves, each one is unique, and there are over 35 of them. 35! That's a lot of different characters to choose from. Each of them has 4 unique abilities that do different things, and you can typically mod a Warframe 3 different ways or more to focus on a specific part of their ability kit. That is a fantastic amount of customization and one of the things I love most about the game. I will say that the star chart content can get a bit repetitive at times, but if you stick it out, fill out your star chart, and get into high level content, it'll feel less repetitive in due time. At higher levels the combat gets much more complex. Try staying for at least an hour in a survival mission if you decide to play, and you'll see what I mean.  I had to talk about the cosmetics in Warframe because let's face it- fashion, looking good and uniqueness are important aspects of any videogame. Warframe has a ton of cosmetics, and they're all extremely beautiful and wonderful. Once you get through all the star chart content, you may find yourself grinding for Platinum to purchase a new set of clothes- or outright buying it with real money, I won't judge you for it. In fact, some of the best cosmetics in the game can only be purchased with real money- the TennoGen cosmetics are handsomely crafted with love by individual creators, and your money goes back to those creators, supporting them and allowing them to make more wonderful content for the game.  I'll flesh out my review by saying this. If you don't like grinding or MMO-type games, Warframe probably isn't for you. I would still give it a go even if you don't like those types of games, but you're probably not going to enjoy it if you aren't a patient person. Grinding is the name of the game in Warframe, and RNG affects many activities in the game. If you don't like the fact that you aren't guaranteed certain things and have to wait for warframes and weapons to finish building before you can use them, or that you have to farm resources to build them, then you probably won't enjoy the game. Still, if you invest your time into the grind, you can acquire nearly anything you want for no cost at all.  One great thing about Warframe is that they are constantly updating the game and delivering new content to us. Year round, we get new Warframes, quests, and content, albeit they can be buggy at the start. We received Sanctuary Onslaught, a new gamemode, and The Sacrifice, a new quest, earlier this year, and we're getting Fortuna, an open-world area on Venus later this year. That's a lot of content for one year! While it's not always the best and most optimized content, I see more love poured into Warframe content than that of any other game at the current time. The devs maintain a strong relationship with the community and actively ask questions to the players about what they want to see and what they want changed, and do frequent livestreams for fun and for discussing where they are in terms of development with the game. Their strong community commitment is one of the great things that many people love about Warframe- DE's transparency and willingness to maintain a strong bond with us is something that not many other game companies can brag about.  So, if you read my entire thing and some of my points sparked your interest, I would definitely reccommend giving the game a go. I have loved every second I've played of Warframe and I can honestly say it's one of the only games whose future updates I'm currently excited for. There are no downsides to trying the game out- after all, it's free to play and if you don't like the grind then you can stop at any time and uninstall the game. There's no paywalls or money barriers to any of the content in the game. It takes time to grind for resources and build things, but if you can develop patience, that grinding pays off, and the game will only get deeper and more complex as a result.",Recommended,2018.08.11,5.0
Warframe,Kunzer,"This is an exit-review for Warframe.  My time with Warframe spanned about 7 or 8 years. I am unfortunately at the point where I can't quite get into it anymore, which is sad but the memories I have from Warframe are super happy, to say the least.  Making the choice to try Warframe is one of the best decisions I've ever made. I made life-long friends while playing this game.  Thanks to DE for everything they've done, I always felt supported as a player here. Absolutely legendary game, so much fun to be had.  If you somehow have not tried this game yet, please give it a go.  Cheers <3",Recommended,2023.12.14,2.0
Warframe,Asmoranomardicadaistinaculdacar,"List of things that actually happen in this game:  -You collect the exploded parts of a mathematician who blew himself up trying to perform a Domain Expansion -CEO of a planetary sector fatally wounds a homeless child after harassing them for a comic book. You can save the child by performing a really cool skateboard trick -The Pope of Capitalism (who is trapped in Space Hell) orchestrates a plot for you to break him out just so he can disown his son -You kill your mom's toxic ex with an Apple Vision Pro -You can play as a woman who was repeatedly skinned alive so her torturer could build the world's worst Boston Dynamics robot -You help a test tube baby and a college dropout fight a cult -One of the primary antagonists is a giant company creatively named the ""Corpos"" -You can play as a woman who turned herself into a nuke in order to save her friend (who is a sentient apartment building) Great game  Even more: -You summon the spirit of a dead child through the power of his haunted fidget spinner so he can tell you about the main antagonist of the entire universe -One gamemode has you fight enemies using a spaceship that is powered by a mummified finger and piloted by Vietnam Veteran Siri -One of the best weapons in the game is a piece of your grandfather's spine -Time travel does exist, and its primary purpose is to prevent Y2K from happening -You help save a colony of settlers from being eaten alive by investing in the stock market (which is now a gladiator bloodsport) -Every time you kill someone of vague importance your personal hitman sends you an email telling you to kill yourself complete with a little edited PNG of him like he's Low Tier God -Jetstream Sam gets turned into a marketable plushie -Your mission control for fighting eldritch beings from beyond space-time is a talking goldfish voiced by Astarion -The newest mission has your character (questionably a minor and possibly male) experience the agony of childbirth through a psychic link with our stalker's pregnant wife, represented via a birthing contractions rhythm game",Recommended,2024.04.23,866.5
Warframe,R̶N̶٭,Bring Cross save i have over 1k hours on PS4 and i cant start again PLEASEEEEEE,Recommended,2020.08.23,0.6
Warframe,Krono,"control space, control space, control space, control space, control space, control space, control space, control space, control space, control space.  and sometimes against enemies e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e",Recommended,2023.05.30,1.0
Warframe,Sexual Harassment Panda,"Once you've played Warframe, every other game you play will feel like your character is moving around with two broken legs. The movement in Warframe is absolutely GLORIOUS. Did I mention the graphics, because this game looks GORGEOUS. The warframes, the weapons, near infinite variety and so much fun.  Playing with friends is the best.  Is it grindy? Yeah, it's grindy. But it's also a lot of fun.  Highly recommended.",Recommended,2024.08.04,11.0
Warframe,An Intruder,It's the game where i met most of my friends and its hard to meet toxic players because its mainly PvE. Overall the devs are extremely generous and for the most part listen to the community also.. RED TEXT!,Recommended,2018.12.28,3.0
Warframe,roshi!,i might be schizophrenic because there is a woman talking in my head every 3 seconds,Recommended,2024.03.01,73.7
Warframe,Pasta,"When you play this game, it'll be good. You'll play for a while, look up some guides grind for a while maybe start making plat. Then, you'll likely stop for a while.  Then one day you'll be going about your life, and suddenly all neuron function will cease and only one synapse will fire.  ""Warframe"" You'll think to yourself.  Then you'll be back for a while.  Been doing that for some time now, not bad. Would recommend, fantastic for a free game.",Recommended,2021.07.23,335.5
Warframe,Shard of Manus,"A lot of Warframe reviews bank on the point that it's free, and so what's the harm with trying? The answer to that is, potentially a lot. Dispense with the idea that Warframe is free - that aspect is entirely irrelevant, free or not a bad game is still bad and certainly not worth a damn.  I recommend Warframe solely because it is a good game.  Daunting, yes, Warframe is huge - as it well should be after almost six continuous years of post-release development, but that quantity upholds a consistent level of quality rivalling any other well received, well reviewed title. This game certainly demands time investment, and that aspect can put off new players that are expecting to progress at a rapid pace. You can reach a decent point in the game after some investment, but it will take thousands of hours to truly complete everything it has to offer.  As an online, instance-based, multiplayer, sci-fi action game Warframe belongs to a fairly niche market - it's most prominent rival being Destiny, and yet these two are so utterly perpendicular in their goals and aspects. Warframe is truly unique, an experience I've never encountered anywhere else, and truthfully not tailored to everyone's particular tastes.  It's big, we've touched upon that, but exactly what is it offering? Quests, progression, customisation, combat, design, music, graphics? How do these all play out in practice? Are they all great?  Short answer, no. It's hard to make a perfect game; impossible in fact, but Warframe certainly pushes some boundaries. Questing has been improving greatly over the years, and the content in the last couple has provided amazing lore and gameplay mechanics with some exceptional writing - and they seem only to be improving.  Progression and customisation tie into one overarching aspect. There's no denying that it starts off slow. Warframe is a grindy game, it makes up a large portion of the time needed to complete it, but it pays off. In a couple weeks you'll have a few frames and a bunch of weapons, in a couple of months you'll have accrued quite the varied arsenal, and within a year you'll likely have almost everything, if not all of it. Warframe doesn't tie you down or make things too hard, it just demands you put in the effort to reap the reward.  The combat of Warframe is simple, and yet incredibly complex. There could be a review on this in and of itself, so I'll make it brief - there is huge variety, and this is no mere point and click to win game (unless you're Saryn).  The design of Warframe is ever undergoing changes, to the current UI overhaul in progress, to the constant graphical improvements, to the general improvements and overhauls of map tiles and geographical spaces. The latest of which, the massive open world of Fortuna, has turned out to be and incredible display of amazing and well detailed level design.  Now, it is not without its downsides. Bugs are frequent, though ultimately the vast majority are very minor and inconsequential. It is rare to face a bug that truly causes major problems. Graphical optimisation isn't great, especially with the open world maps.  I think there must be mention of how the Market can seem unfair to new players, as it implies weapons must be bought with Platinum, but this is not the case - everything can be crafted.  Now, I will touch on the free to play aspect lastly - I've covered that this is a game and is worth your time, but I dissuade the notion one might have that it is dangerous simply because it IS free to play. Warframe Bears perhaps the most forgiving free to play scheme ever - and that is because you can obtain everything without ever paying a penny. Platinum, the premium currency, can be obtained by simply trading in-game items to players - one can accrue thousands upon thousands without ever putting money into this, and that is what is recommended.  Don't shy away because you think you'll be bottle necked into buying your way to progress, it is never the case.  Bottom line - Warframe is a great game, free or not. You should give it a go - and make friends, it's the best way to play.",Recommended,2018.11.22,2.0
Warframe,Rusty Water,"The best 500 hours I've ever spent. Would highly reccomend it.  DE has done a fantastic job at taking a mediocre game and transforming it into a content giant with a great community and a satisfying game loop of farming resources and building weapons and new frames. I have met many good friends and made lots of memories in Warframe. And its FREE! Thank you DE for what you have done.  Now after I have gushed, I will be real.  This game is not for everyone. If grindy games are not for you, I would reccomend you at least try Warframe, but if you get bored and leave I'd understand.  I think everyone should at least try this amazing game and experience its dedicated development team and community managers. I give Warframe a near perfect as far as games go. I would say an 8 out of 10 solely for the point that it is still semi-niche as a looter grindy game and that not everything is intuitive and has a decent learning curve.  Believe me though,  it's worth it.",Recommended,2018.03.10,1.0
Warframe,dimir,pros: -free -isnt destiny -good devs -isnt made by bungie -space mom  cons: -1000 hours gone,Recommended,2023.11.07,1.0
Warframe,MartianHare,"Since I noticed I'd hit exactly 4,000 hours on this game, I figured I should finally write a review.  I really do love this game. I've been playing on and off for something like five years now. Even if I go on hiatus for months or even longer, I can always come back to it, and there will be something for me to do. I enjoy the gameplay loop, I'm invested in so many of the characters, and the amount of customization available for your warframe is just fantastic.  This game is entirely free-to-play, but it's one I gladly put money into. I love it.",Recommended,2021.12.15,4.0
Warframe,[LMF] TedWuzRite,Step 1. Install Step 2. Complete main story Step 3. Grind for a disgusting amount of time. Step 4. Cry Step 5. Cry whilst waiting for next update Step 6. Cry whilst updating Step 7. Grind the New update Step 8. Repeat,Recommended,2023.04.03,279.5
Warframe,𝓢𝓨 ♡,"I started playing this game because my cousin told me one day to try it out. What was an activity that was just passing time at first became a fun common occurence between my cousin and I.  As a girl who grew up playing with dolls and dress-up games, this game is a perfect middle ground for me and my cousin to both enjoy. He would go about egging me to join him for sorties or bosses to fight, while I would spend (way too much) time on customising my Warframes and making them as pretty as possible.  As someone who really believes in showing gratitude, I have spent a lot of money to give back to the developers.  This game is a wonderful work of art. The constant developments, albeit sometimes underwhelming patch notes, grows on you. It follows the tune of life, where we constantly have to grow and learn, mature and adapt.",Recommended,2021.03.27,3.0
Warframe,Flupheh,send help,Recommended,2023.12.04,10.0
Warframe,A1m3r,"5400 hours in, pretty good game so far. I might need to play more to make sure though.",Recommended,2021.03.19,5.0
Warframe,The Wild Slayer,"I'm not sure how I feel about the game yet, I'll check back in another 2000 hours.",Recommended,2017.08.25,2.0
Warframe,Raysong,"I forgot to check the time, what year is it?",Recommended,2023.10.01,5.0
Warframe,Bjorn,"first week: its ok Second week: cool game Third week: wow, great game fourth week: 300 hours? this cant be right! fifth week: 430 hours, i have a problem...",Recommended,2014.10.18,995.1
Warframe,hysumek,"How to ruin your life:  1) Download Warframe 2) Learn how to press buttons on your keyboard to play Warframe 3) Grind for hundreds and thousands of hours for that one thing that looks really cool. 4) Congratulations, you now have no life.  This method is tried-and-true, I have even tested it on myself; that's how sure I was that it would work.   Edit: A few people are adding me for help on WF. Feel free to add me if you wish, and I'll try my best to accept and answer any questions you may have, but just know I may not have time to play more than a few rounds with you :c Sorry.",Recommended,2014.10.27,4.0
Warframe,aerie,"So like... Long overdue re-review?  3008 hours ingame, 1637 hours spent in missions, and reached MR30 (which is this thing which might prevent you from getting those cool guns you've seen other people use but also is pretty much just for showing off that you've played a lot of the game and used just about every weapon or item in the game).  Let's overgeneralize a bit-  Game has big guns that go pew pew or brrap brrap or psssssssssssshhhh that kill enemies to varying degrees. Also has tons of playable characters (Warframes) that have special magic powers like going invisible or... throwing stars which you can already equip normally. (I like Zephyr. Zephyr birb.) Tons of collectible guns and such with not-so-much space to store them, but it's a pretty nice shooty shooty bang bang game for people who enjoy things like Destiny 2, Borderlands uniques, or the mindless grind of Minecraft. But there's similar things in other reviews and you can prob just Google the game itself to learn more about the amazing timesink that is Warframe.  So, 3000 hours of having Warfarm launched, and I still haven't spent a penny (it's about the statement now). Money in this game can be a tradeoff for time played- there's this currency called Platinum that can be used in everything but also costs real money. But you can get plat by trading with people who have plat and basically use other people's money to upgrade your stuff. It's probably my favorite thing that Warframe does that other games don't. Though if I had spent money, I could probably have hit MR30 at around 1k hours rather than 3k but I enjoy the grind so it's really up to you.  uhhh... apparently new player experience could also use a ton of work so pls have a friend teach you everything in warframe before you start :D",Recommended,2017.12.02,4.0
Warframe,Flowreen Sawlam,Are you a farmer? Do you want to do things over and over and over again without any purpose? This game is for you!,Recommended,2021.05.01,3.0
Warframe,Klink,"Does anyone really read these? I swear I'm gonna drink one gallon of water every time someone finds this ""helpful"" (This review is anything but helpful)",Recommended,2024.07.19,20.3
Warframe,Sleepy Lime,"Been playing this game off and on for 4 years, only leaving because it's so hard not to play other games. Every time I come back, the game is SIGNIFICANTLY better than it used to be, which is surprising because it's always been good. I seriously recommend it, as long as you don't mind grinding.  Everything except skins are available for free as long as you don't mind working for what you want, and even the in game currency is obtainable through player to player trading. I can't praise Digital Extremes enough for demonstrating good game development. I just hope other companies follow suit. Hail to space mom!",Recommended,2018.11.11,1.0
Warframe,weird bird,"I grind. I sleep. I awaken. I grind some more. I gaze into the Void. The Void gazes back. I have not seen the sun in months. The grind is all I know. And yet, without the grind, I have nothing. I am weary, sick, beaten down, utterly devoid of all that is good in this world. And yet I continue, for the grind never stops.",Recommended,2023.06.01,330.3
Warframe,Carnifex,I should go touch some grass,Recommended,2022.11.12,1.0
Warframe,RavaZa,Devs that care more about community rather than money.,Recommended,2018.04.23,949.8
Warframe,Druach,"Right, I have a ....few hours in this game so I guess I should write a review or something.  To cut to the chase, its a good game. The tutorial is very pretty, but is so laughably bad at teaching you the mechanics of the game it almost feels like a dated meme. If you can figure out the core mechanics (especially modding your weapons and frames), you'll be fine (protip: the community is not bad, ask for help, but not handouts, if you need it). Also the warframe wiki is your best friend for finding stuff and figuring stuff out.  There are a bunch of frames (character you play as) and even more weapons (like seriously, there are so many). So you can tailor your loadout to any playstyle you want. Want to be perma-invisible and nail everybody with a bow and arrow? Want to be a mega-tank (my favorite playstyle cause I'm lazy)? Want to be a hyper-mobile glass cannon? You can do all of these. Maybe not right off the bat, but eventually.  Ok, here is the make or break about warframe. As you can see from my hours played, there is a lot to do if you are in to this kinda thing. This is both good and bad. Good because there is always something to do. Bad because.....there is always something to do. Warframe is not a game you can ""beat."" Yes, I know this standard for these MMO type of games, but I think it needs to be said. Its a slow burn. If you try to binge, or rush this, you are gonna have a subpar experience. My favorite thing about warframe is that it allows you to hop on, do a thing or two (with or with out friends), and hop off. If you want to binge it, the game will not stop you, its just that you may find yourself burnt out fairly quickly of you do that.  Speaking of MMO, lets talk monetization. Warframe is free to play, but I think that is monetized properly. Yes, you can buy almost anything if you shell out he cash, but what often goes unnoticed is that you can get all frames and weapons by playing the game, no real money required. You can also get premium currency by trading with other players. So essentially, the premium currency is a pay real money to skip the grind and trade type thing. Is this the best model? No, it is not, but is is a lot better than other systems. Also, there are no loot boxes, which is nice. Yes, there are relics you can open (by playing a mission) for a chance to get parts for making gear, but there is no premium currency involved unless you use premium currency to buy it off another player.  So, its a good game, with incredible customization (gameplay and fashion), wonderful quests (not spoiling those here, they are great, trust me), fair monetization, and a pretty good community. But it also has one the worst (but prettiest) tutorials I have ever seen. Its definitely a slow burn, but it is a great game like no other. Give it a try, I mean its free, what do you have to lose?",Recommended,2022.12.30,10.0
Warframe,GodSlayer,A must read review!... But spoiler alert!   This game,Recommended,2017.12.14,94.2
Warframe,Adult Human Chicken,Look at my hours. I'm not max level.  Run you fools.,Recommended,2023.06.14,2.0
Warframe,Wild,"This free game comes bundled with a time travelling device. Once you turn it on, you will lose track of time and spend an entire weekend like it was only 5 hours.",Recommended,2018.12.18,701.2
Warframe,2/3 Hangnail Anxiety,"Free to Play"" Only costs your soul",Recommended,2019.01.14,528.1
Warframe,Fayieee,I wish I never played this game.,Recommended,2021.12.04,3.0
Warframe,Axel023,Took me 700 hours to customize my character,Recommended,2017.10.10,1.0
Warframe,muzzy,A safe haven for Genji mains,Recommended,2017.08.30,38.3
Warframe,JonnieWu,"Soooo, i wanna take the time to thank The Last Descendant for bringing me here. this is a much better game.",Recommended,2024.07.25,85.5
Warframe,jendra.hl,parkour slashing running shooting trading farming space ninja simulator,Recommended,2020.12.12,267.4
Warframe,ITS AN ONLINE GAME MOM,Get out while you still can.,Recommended,2019.11.24,3.0
Warframe,Dark_bronze,"If you have a life, DO NOT ALLOW THIS FREE-TIME BLACK HOLE, THIS TIME SUCCUBUS to consume you. You will hate it, yourself, and everyone who plays it, and you'll still be farming. If you've already seen the amount of stuff you can do in this game and you're still interested, I'm sorry. Its too late for you.",Recommended,2021.11.02,1.0
Warframe,Gnosis,"Pros: - Technically Free - Can be played solo or in groups - Can build just about anything given time - Various mission types - Can be casual or hardcore - Friendly community - Some gorgeous graphics and designs  Cons: - Slots for more weapons and Warframes cost Platinum (premium currency - which can be traded between players, to be fair) - Can be overwhelming with the amount of content that has been added - Very grindy - Some of the nicest fashion options can get pricy  Overall: There are times when I want something mindless to play after a day at work and it is easy to pick up easier missions. There are times when I want to get serious and there are missions for that. Highly recommend giving it a few hours.  Edit: I have been playing this game about 1 month at the time of this review",Recommended,2018.12.15,1.0
Warframe,Mr.Warframe Guy,Gud game[2014]...Still gud[2017]...Ye Still a gud game[2018]...gud game still [2019],Recommended,2016.11.27,9.0
Warframe,Axel_Notu,want to be a ninja? want to be in space? want to be a farmer? wanted to be a ninja space farmer?     this game is for you,Recommended,2017.03.09,743.5
Warframe,GLITCH,Gave it a few hours...Its alright.,Recommended,2018.11.12,7.0
Warframe,Crungle bickman,miserable time-sink can't stop playing send help,Recommended,2021.10.25,2.0
Warframe,Cabby,Good Game play it for a little bit ...   over 8 Years.,Recommended,2022.03.12,6.0
Warframe,Official Mort Love Club,Genshin impact but for dudes,Recommended,2023.12.31,396.3
Warframe,RobotCloud27,You can pet the dog,Recommended,2024.05.17,1.0
Warframe,Magik,"No matter what anyone says, this game isn't a pay to win game. You can get every single item in the market in different levels. This is what a modern free to play game should admire to be.",Recommended,2017.08.21,1.0
Warframe,Cyanide,"Want a game where developers listen to the community? Want a game where a community will welcome you with open arms? Want a game that has a storyline that will kick you in the nuts so hard and still make you say ""That felt GOOD.""?  Well Warframe is all that, and I guarantee that if you are a sci-fi lover and an mmo rpg lover, then this game is the absolute best of both worlds. Theres a reason why this game has so much respect in the gaming community. Definitely give it a shot!",Recommended,2017.10.26,720.3
Warframe,tehhorror,"An excellent example of f2p game done right.  Pros: - nice graphics - dynamic and engaging gameplay - unique visual style and story - good co-op PVE experience - non-intrusive and balanced monetization - excellent devs communication and feedback - game is constantly developing and new features become available regularly  Cons: - the gameplay becomes grindy over time - PVP is almost non-existent  So I higly recommend this game if you are into co-op PVE third-person shooters. It's a kind of game when if you get tired of it - you can always take a break, return at some later point and see a lot of new and interesting stuff added with the latest updates.",Recommended,2014.12.04,577.1
Warframe,Felixinius,"Been out for a long time, started a new account. Took me whole 10.9 hours to find the first toxic player! The community is getting better!",Recommended,2021.10.26,249.0
Warframe,Topdoog1,I can not belive I wasted money on destiny and destiny 2 when this game exsisted. Defintly recommend it to everybody amazing game and community.,Recommended,2018.03.13,103.1
Warframe,geralt. 𒉭,"Before I played this... I had a small wee wee, no friends, no girlfriend, depression and absolutely no will to live. None of these things have changed, but the game is pretty good.",Recommended,2024.03.15,38.9
Warframe,Dr.Snacker17,"If you like Destiny 2 but hate getting disappointing every 3-6 months, then warframe is the F2P game for you. There is so much to do and grind for that you wont have any time or energy to complain because the time you took to complain about something, 4 primes and 5 quests came out and now you're 2 years behind, with no relics and no credits and no endo and no build.",Recommended,2024.01.17,213.4
Warframe,Dr. Nonu,I paid money for games that were much worse.  Recommended,Recommended,2018.07.17,10.7
Warframe,YakozakiSora,gahm guud recommended you try it,Recommended,2019.09.16,3.0
Warframe,The Greatest,"So I was just reading the negative reviews of other players with multiple thousands of gameplay hours and thought those hypocrites need balancing out. All those gameplay hours still exist in the game. Nobody took them away. You can still do all the same things they did 'back in the good days'. The only difference is that now there is even more of it and they just got bored of the game AFTER SPENDING 2000 QUALITY HOURS! Can you really blame the game for that? Everyone gets bored of everything eventually, there is no escape from the reality. Quit for a year like I did. Play something else. Maybe come back, maybe don't. Does not change the fact the game still has all the same amazing content it always had and more.",Recommended,2020.11.16,4.0
Warframe,LemonyLlama,Free time? No money? Love grind? Big boom? Loud bang? Super chaos? This be the game for you.,Recommended,2017.08.07,810.2
Warframe,CaynePhoenix,"CROSS-SAVE WORKED, BACK IN ACTION!",Recommended,2023.12.22,10.1
Warframe,milk,This game is the definition of ADHD.,Recommended,2023.04.03,335.5
