sentence,topic
regret getting,6
refuse waste life grinding meaningless stuff basic melee ranged combat ill stick competitive multiplayer shooter fighting game grind grind evil quality,0
addicting im rank love yas gurlll slay edit ruining love,6
cant online multiplayer game community,0
hate,2
councilor vay hek tenno worse weed kill show multyplayer nutshell,-1
think number hour put speaks worried payment model work time v money time money everything including cosmetic obtained trade player money much time grind specific item buy player rare case market depending want bad end competent devs whats great represents ultimate example squandered potential end sight nothing endless grind variant pose question purpose gaining ultimate power contest worthy content trivialized,0
little grindy enough hour give proper review,4
need time get arent getting much help played time fun,1
life wasnt whole got know gameit isnt atleast something kill time best time killer best free pps better lot paid game,0
tell definition insanity,-1
start peasant owns nothing basic tool end end peasant owns everything space farm simulator,0
thanks prime resurgence family disowned,1
pro time machine ive seen day go flash start activate con cant find reverse time button support kinda poo,1
wicked,2
head people thinking trying doesnt require skill way mobas fps reaction time quick flashy play arent going make good build numbercrunching lot grinding youre people serious timeconstraints job deal life expect make huge amount progress rest review removed outdated want want isnt going gate something werent second told,0
